"user","ecletic","clusters_total","clusters","media_pop","mediana_pop","dp_pop","news","news_total","old","old_total","count_sim.x","tempo_sim.x","count_pop.x","tempo_pop.x","count_sim.y","tempo_sim.y","count_pop.y","tempo_pop.y"
"1Ferdi",2893.57555843,163,64,5.166949505,5.21173311621,0.779718243174,30,30,228,256,-0.00689655172413793,0.0692045665447833,0.0206896551724138,0.212227337404002,0.127498323990058,0.227326645256322,0.225782312741119,0.232110818228768
"1gOR",3399.63272456,150,59,4.56647139753,4.60626124701,0.876742503837,28,28,53,63,0.287238106045408,0.178913020591271,-0.0851075869764172,0.0988027128638364,0.0188816317037591,0.07569173268538,0.270152576684554,0.155750296102609
"1uLyMaN",1443.30512388,88,27,5.12114981633,5.18314847477,0.809013439737,14,14,46,52,-0.164835164835165,-0.0333353911370414,-0.0769230769230769,-0.0333353911370414,0.274528789919457,0.165292557200144,-0.0251329173869925,-0.070006259520061
"200iso",3229.47673288,132,58,5.35993189143,5.50168353977,0.812558819307,22,22,118,125,0.134199134199134,0.183818442028888,-0.0303030303030303,-0.035013036576931,0.107101459398374,0.217076235592884,0.0749275433138828,0.147669920801313
"20lbcat",3260.37956588,130,62,5.40143094696,5.63244786563,0.91431365784,27,27,90,102,0.0400575935374693,-0.111653686906788,0.211732994412338,0.329084550883166,0.144677701819365,0.311421738970324,0.121689189613179,0.127730592373807
"23EmCia",662.190194283,24,12,5.89290704933,6.19171620296,0.707543746979,21,21,34,45,0.0525061161254233,0.386514023768299,-0.186158048081046,0.0193257011884149,0.183600713012478,0.0896878661339437,0.244206773618538,0.258301054465758
"280890",1876.01929644,78,36,5.94077033892,6.09323165208,0.540753091001,23,23,100,111,0.204,0.326049536719893,0.214715548571637,0.359683794466403,0.154250518750756,0.0383331260864768,0.059638142898392,0.106480905795769
"286",4254.53193505,213,73,5.03717931506,5.28153402826,0.988508436703,37,37,109,114,-0.0706236112173448,-0.10222516749113,-0.0375657506475238,0.0564527044354,0.206485874504586,0.202025424849302,0.0530974220245704,0.139498945750401
"2la_sCake",1296.47403537,47,24,5.79241154118,5.9793673134,0.565739167359,25,25,103,112,0.0535117056856187,0.154363285233322,-0.156928432374132,-0.0167506302543202,0.243359041377246,0.224871588220678,0.10262757230966,0.0739964979129335
"2ticketstoparad",1507.27553721,61,25,5.7344907003,6.05315469543,0.825961897145,30,30,96,113,-0.133795495319914,-0.328843673339922,0.129181857550262,0.213628371731774,0.243774000369954,0.227704744739075,0.184929263055613,0.32320817436059
"38315",874.481769817,32,18,5.03960182625,5.12848048986,0.809128624731,15,15,76,79,0.245204119306875,0.323669437485075,-0.0285714285714286,-0.161904761904762,0.198242579740637,0.151730601306055,0.144387953869352,0.266975806060048
"3meigorini4",1329.40746773,59,24,5.73157898875,5.94581082583,0.667054427721,40,40,119,129,0.114175777176573,0.105808653688964,0.0474663343318337,0.0154841932227753,0.113731941013083,0.132676828132526,0.151357545558764,0.131816221679775
"404-",1418.91156955,47,22,5.38814360887,5.37814888252,0.543593003964,15,15,66,68,0.172250775528964,0.421057451293024,-0.0191389750587738,0.229667700705286,0.133053279287013,0.136608818766629,0.0625437998716188,0.0790462609063886
"41235",4251.15603875,171,85,5.55585334894,5.74373097456,0.734229287068,24,24,52,56,0.123188405797101,0.0290911014294056,0.384057971014493,0.429093746083733,0.186768139883354,0.16420829218782,0.158034579901299,0.232313113832537
"46561819k",1636.35641248,79,30,4.85682254735,4.79094534747,1.0725401892,39,43,40,82,0.148950882743096,0.20981627444712,-0.0365359930713522,-0.0190613318378212,0.231959533292321,0.253393718098533,0.264441809668363,0.364459594149209
