"","user","fam_novid","fam_conhec","pop_novid","pop_conhec"
"50","23EmCia",0.0525061161254233,0.183600713012478,-0.186158048081046,0.244206773618538
"51","280890",0.204,0.154250518750756,0.214715548571637,0.059638142898392
"52","286",-0.0706236112173448,0.206485874504586,-0.0375657506475238,0.0530974220245704
"53","2la_sCake",0.0535117056856187,0.243359041377246,-0.156928432374132,0.10262757230966
"54","2ticketstoparad",-0.133795495319914,0.243774000369954,0.129181857550262,0.184929263055613
"55","38315",0.245204119306875,0.198242579740637,-0.0285714285714286,0.144387953869352
"56","3meigorini4",0.114175777176573,0.113731941013083,0.0474663343318337,0.151357545558764
"57","404-",0.172250775528964,0.133053279287013,-0.0191389750587738,0.0625437998716188
"58","41235",0.123188405797101,0.186768139883354,0.384057971014493,0.158034579901299
"59","46561819k",0.148950882743096,0.231959533292321,-0.0365359930713522,0.264441809668363
"60","4815seb2342",0.0538838876241114,0.152178311789268,0.119664217970429,0.105738019919151
"61","4lB3R70",-0.0631578947368421,0.0919846807160504,0.231578947368421,0.0356547896574281
"62","5h2",-0.0672268907563025,0.130414964307153,-0.158997207663587,0.314134340598958
"63","690min",0.105169340463458,0.155261670293894,0.0802139037433155,0.221966684197938
"64","6seven",-0.300716846900152,-0.0581081611652554,0.205251181217564,-0.0608108663357324
"65","6WaysTilSunday",-0.0419235830417449,0.228193930164354,-0.0517879555221554,0.262739573391889
"66","6yk",0.157666701703715,0.148117551323215,0.306615670500968,0.318534547932177
"67","730n4rd0",0.164835164835165,0.106947564025037,0.208791208791209,0.181402953509581
"68","76ross",0.0477966160523401,0.233525663847117,-0.14338984815702,0.123475916340284
"69","777egray",0.147673634524612,0.0766669052176412,0.196091688725496,-0.000229042752120262
"70","81599517",0.0419235830417449,0.237573500517928,-0.00246609312010264,0.319517301498711
"71","870418",0.0434782608695652,0.251849379969687,-0.101449275362319,0.0519574652086461
"72","87KaMIL87",-0.030799835495345,0.0478096135872792,0.0575396825396825,0.099178809659549
"73","88marcus",-0.0303030303030303,0.23140205654919,-0.303030303030303,-0.0303559687086034
"74","90degreeA",0.097670951683562,-0.0652870010918053,-0.151765632615996,0.00981438578504263
"75","a-d-t-r",-0.0047732832841294,0.128465015001069,-0.262530580627117,0.100134327282202
"76","a-ost",-0.293590337367029,0.356176835610043,0.0366987921708787,0.263820837731999
"77","a____________",0.262503316944125,0.200667330132447,-0.134355995177799,-0.0443482387926858
"78","A_Gati",0.10905786625838,0.0371311322197074,0.139830534092975,0
"79","a_green",0.0606060606060606,0.0399530240589545,0.212121212121212,-0.032119097772885
"80","a_kozhevnikov",-0.00836827408755723,0.132651358702893,-0.133333333333333,-0.0768929050933526
"81","a_q_u_a_r_i_u_s",-0.0312072842326075,0.196525143189521,0.147276481729323,0.177317484888746
"82","A_Silver_Voice",-0.201591511936339,0.250702101334956,0.241059814095803,0.253455747188797
"83","a_spiral_eye",0.163636363636364,0.205324878062012,-0.0181818181818182,-0.0153195172472664
"84","a_tommi",-0.294117647058824,0.329903208141434,-0.0294117647058824,0.0780871813765962
"85","A1Hellion",-0.0121032207021933,0.406742809663963,0.021021021021021,-0.0881479704272042
"86","a1phanumeric",0.119122339361763,0.0929148260473304,0.00901078222227515,0.170802328726676
"87","a3df6c",-0.0524592983576422,0.240643411341465,0.26797385620915,-0.0479060886771178
"88","a3dmofo",0.064459016422956,0.0554065162117641,0.039391621147362,0.0598985174752375
"89","a7sean",0.00201816449873534,0.22005900447401,-0.159434995400092,0.00181118522200831
"90","A7thWonder",0.090150376044714,0.213021597222523,-0.0968281816776558,0.0782467573709078
"91","a911forpeace",0.121212368559315,0.2375289603617,0.0767678334208994,0.0972672637915703
"92","aacisseJ",-0.0285714285714286,0.200148964132062,-0.161904761904762,0.143466131838742
"93","aadakaulitz",0.2,0.334426229508197,0.309090909090909,0.0502732240437158
"94","aahs",0.376811594202899,0.0695130482704401,0.0289855072463768,0.0353569247440818
