"","user","fam_AT","pop_AT","ecletic","media_pop","propNov","fam_AT_norm","pop_AT_norm","ecletic_norm","media_norm","propNov_norm","cluster","nome"
"12","rodrigoschuch",0.328103044258367,0.205128205128205,8.0814248833,5.63683524321,0.099236641221374,1.60856939579698,0.913409919916529,-0.953499562623124,0.424243314317826,-1.22102226040032,1,"Averso a artistas diferentes"
"13","balazs13",0.121212121212121,0.272727272727273,7.41500399781,5.81550062937,0.129032258064516,0.391737672405657,1.29642122179235,-1.01751693062121,0.89807572190791,-0.936573749015452,1,"Averso a artistas diferentes"
"14","roilama",0.0346421247171058,0.142692844766144,13.9998767754,5.57921667413,0.272727272727273,-0.117424916643564,0.55965580015277,-0.384964390624484,0.271435062558178,0.435233159008197,1,"Averso a artistas diferentes"
"15","Rokanirol",0.102564102564103,0.256410256410256,6.74201665566,6.00012963959,0.158536585365854,0.282059102001536,1.20397021789129,-1.08216508208002,1.38772405449077,-0.654906078751761,1,"Averso a artistas diferentes"
"16","RonKuper",0.240426591503205,0.307692631769812,23.3318590471,5.8711720768,0.219626168224299,1.09289916949587,1.49453235206515,0.511479517792028,1.04572007841555,-0.0717048315117,1,"Averso a artistas diferentes"
"17","RonMexico82",-0.0574169251763215,0.162681287999577,9.8708269604,6.08438938716,0.173553719008264,-0.658871446468108,0.672908836580949,-0.781606973779625,1.61118647165014,-0.511542666195509,1,"Averso a artistas diferentes"
"18","ronnybrayner",-0.0292397660818713,0.251461988304094,8.41277085243,5.6959286932,0.213483146067416,-0.493147109429372,1.17593369791127,-0.921669982694996,0.580963047688512,-0.130350152302631,1,"Averso a artistas diferentes"
"19","Roo7285",0.563636363636364,0.0909090909090909,12.636123166,5.78231921595,0.159420289855072,2.99386175524351,0.266252892609108,-0.515968563171519,0.810076421394489,-0.64646965577768,1,"Averso a artistas diferentes"
"20","Rooger1989",0.212121212121212,0.272727272727273,7.7638541843,5.70061496384,0.15,0.926420703125764,1.29642122179235,-0.984005869892208,0.593391347023344,-0.736401924681389,1,"Averso a artistas diferentes"
"21","RoryMcDonald",0.0897100748053513,0.28421052631579,10.3158529661,5.78208380423,0.201923076923077,0.206457966292429,1.36148448468814,-0.73885712275317,0.809452093960619,-0.240710158505026,1,"Averso a artistas diferentes"
"22","roseblackkk",0.238213399503722,0.155748907718473,6.59385069214,5.59502289582,0.32967032967033,1.07988225123153,0.633630484217986,-1.09639812191712,0.313354206714998,0.978848948754281,1,"Averso a artistas diferentes"
"23","Rose-in-Emotion",-0.146795168683515,0.454545454545455,7.0108917884,5.66939634463,0.2,-1.18455077777563,2.32658955097559,-1.05633654234946,0.510597506426457,-0.259069112807854,1,"Averso a artistas diferentes"
"24","rose_loves_you",-0.0294117647058824,0.367647058823529,19.6341568898,5.63637961523,0.126865671641791,-0.494158721630597,1.83422968776301,0.156272823486304,0.423034958813892,-0.95725740480198,1,"Averso a artistas diferentes"
